Prueba,Tamaño_10,Tamaño_20,Tamaño_30,Tamaño_40,Tamaño_50,Tamaño_60,Tamaño_70,Tamaño_80,Tamaño_90,Tamaño_100,Tamaño_110,Tamaño_120,Tamaño_130,Tamaño_140,Tamaño_150,Tamaño_160,Tamaño_170,Tamaño_180,Tamaño_190,Tamaño_200,Tamaño_210,Tamaño_220,Tamaño_230,Tamaño_240,Tamaño_250,Tamaño_260,Tamaño_270,Tamaño_280,Tamaño_290,Tamaño_300,Tamaño_310,Tamaño_320,Tamaño_330,Tamaño_340,Tamaño_350,Tamaño_360,Tamaño_370,Tamaño_380,Tamaño_390,Tamaño_400,Tamaño_410,Tamaño_420,Tamaño_430,Tamaño_440,Tamaño_450,Tamaño_460,Tamaño_470,Tamaño_480,Tamaño_490,Tamaño_500,Tamaño_510,Tamaño_520,Tamaño_530,Tamaño_540,Tamaño_550,Tamaño_560,Tamaño_570,Tamaño_580,Tamaño_590,Tamaño_600,Tamaño_610,Tamaño_620,Tamaño_630,Tamaño_640,Tamaño_650,Tamaño_660,Tamaño_670,Tamaño_680,Tamaño_690,Tamaño_700,Tamaño_710,Tamaño_720,Tamaño_730,Tamaño_740,Tamaño_750,Tamaño_760,Tamaño_770,Tamaño_780,Tamaño_790,Tamaño_800,Tamaño_810,Tamaño_820,Tamaño_830,Tamaño_840,Tamaño_850,Tamaño_860,Tamaño_870,Tamaño_880,Tamaño_890,Tamaño_900,Tamaño_910,Tamaño_920,Tamaño_930,Tamaño_940,Tamaño_950,Tamaño_960,Tamaño_970,Tamaño_980,Tamaño_990,Tamaño_1000
22,900,2200,4400,5700,7900,7600,10400,13800,12400,17200,20800,24300,22300,27100,23300,27400,35400,42400,30900,32900,35800,44100,38900,41300,43400,44600,56800,56200,53700,53300,55400,73500,59600,61400,63600,66700,89300,79500,71400,74400,98400,80100,81600,89900,95500,88700,91500,101600,95600,97400,99600,126600,104800,121100,108700,110700,129500,113900,117000,130400,121200,127700,127200,128900,132000,133300,135900,139700,142100,142000,144600,149900,153400,154000,155600,168000,161500,162500,167800,167700,170800,172800,177100,178600,177200,187100,261500,189800,193100,238100,270700,226300,199300,201400,208400,335500,208400,271200,215000,218300
23,1000,1900,4000,5200,7600,7500,9700,14500,12600,90200,20200,26600,21400,26000,23800,26400,34200,40500,30900,32400,34600,44700,39500,40500,48300,44800,61500,55400,91500,54000,55200,73800,59700,61200,63800,65800,90200,77500,73400,74300,97800,79800,91300,84800,99800,92400,89900,91700,96000,102900,99100,126800,105800,107300,110000,111000,117800,121600,117200,121900,121900,131800,138000,130600,130800,133900,136100,140500,139700,143300,160600,148800,152300,154000,155200,163100,162000,163100,166400,169200,171100,173200,187500,177700,178000,181600,258800,188700,193300,240200,363900,283000,198600,203900,207500,264400,208200,213300,224000,216800
24,1000,2100,4400,5300,7200,7900,9600,14300,12800,17900,20300,25800,23600,27300,23900,26200,32900,40600,30800,31600,34600,43200,38600,40400,47500,44500,63200,53600,75800,54100,55200,72100,60700,61400,68400,67500,88500,74800,72400,74800,96700,93200,90300,84200,100300,88000,89800,93500,95500,96000,98500,130600,105200,108800,109200,111600,116000,114100,116300,119900,123200,124300,128600,129600,131100,134600,135900,140700,146600,143400,149000,150400,151300,151700,156100,170000,161300,163400,182500,187200,179300,171300,175600,177700,183700,181900,218600,187900,192500,224700,235000,298000,199600,201700,221200,238500,210400,218100,213200,219700
25,1600,2500,4200,5500,7300,8000,10800,15500,12700,18700,21100,26500,23000,25300,23000,26000,32900,42100,31500,32700,34400,43700,38400,40300,43700,44000,84000,51600,62500,53800,55200,74300,60100,62200,79600,129200,89700,70300,71800,76000,96200,80300,98500,82500,99100,87800,100200,92900,108000,96700,99800,666100,103500,110700,108900,111200,115000,114300,117200,121400,122300,126500,126700,129300,133100,134000,143100,138700,141800,143700,169100,149600,151000,152800,155900,230300,160400,161800,176400,190000,184900,169600,175900,176500,178800,179600,259800,196300,198200,212600,223800,242700,211600,206000,219200,232100,207900,305600,213600,218700
26,1000,2200,4000,5600,7100,10500,10300,16100,13000,17600,19700,24700,21900,26200,22800,25900,30400,41200,31200,32100,34900,43600,38200,41300,44500,44300,64100,58600,62400,53700,55100,72500,59100,61400,64000,66200,89400,70400,73100,159100,96700,81100,80600,81900,98000,88300,90500,93300,95200,97100,99200,130500,106000,127500,108400,112300,113500,115200,117900,227400,122300,134100,126300,130400,140500,132900,136500,139200,141300,142500,163700,146000,149100,152100,152700,161800,161100,161100,234900,170100,171400,171500,187700,177500,179800,183800,198700,187800,189600,192000,231100,239100,197700,203700,206400,210400,210700,264600,215300,218800
27,1100,2200,4000,5100,7600,10200,10100,14200,12500,17100,20600,23600,21200,25200,23200,25900,31900,42700,31100,43700,35100,44300,38000,48500,43500,44900,62100,52900,62500,53800,55200,72700,59200,61200,63900,66400,88900,69500,72300,152700,82300,81100,82000,83300,108900,87500,90600,91900,103000,96500,99400,129300,103500,128200,107900,111200,116000,116400,117600,119500,121600,125000,126000,130400,133000,135300,136500,139600,139900,142400,151300,148300,155700,153000,154900,160200,161200,161200,172700,170000,170900,181200,175500,185000,177700,187600,186800,187700,201900,193500,225900,197200,198500,200800,204300,224100,208400,271000,214600,217300
28,1100,2100,3900,5200,6500,8900,9900,15600,12300,16700,20900,24300,21700,26600,23300,26000,30000,41000,30900,32500,33900,44600,39000,41000,43600,45500,61700,51200,62500,61400,55600,74600,59700,62100,64300,66100,89500,69200,72000,85300,77300,84300,80900,94100,111800,88500,167400,97300,94500,134000,100800,132000,117500,129100,107800,110200,114800,115500,116500,129500,122400,125100,127900,127600,137700,133000,135000,138600,140500,142000,147000,187600,165700,150900,155600,160600,178600,161100,180200,169800,170800,171900,174400,209500,178400,189000,283800,188700,190300,208900,233200,196300,199600,201200,222100,208400,217100,258100,214100,268200
29,1100,1900,4500,5600,5900,9400,11000,15700,12300,17300,20500,26300,21300,27100,23300,29600,32800,36500,31000,33100,35400,96800,38400,40600,43700,44100,60900,50400,62200,53200,55500,74000,59100,61500,63400,67000,110700,70200,72200,81100,76700,79900,80300,88900,96900,98700,97000,137900,94400,137400,99300,164800,105600,136600,114300,118000,116300,124100,116600,135800,121300,125400,126500,129600,131200,143000,137900,138400,140700,145600,151700,179400,150100,152800,154400,159800,161100,168500,192400,180900,169900,171200,173100,221100,184000,183000,213100,190300,188900,211400,223800,198400,198400,212600,244100,208000,210500,257100,214700,222400
30,1200,2100,4300,5500,6000,10100,9900,14400,15600,17300,20600,26100,21200,27500,23000,28500,31900,39100,30700,32900,34900,44100,39100,42000,45100,44500,59500,51200,62200,54200,54800,74000,72400,68400,63500,66800,88500,69500,72400,77000,84500,79400,82100,90000,96300,88900,100100,94900,96000,121500,101200,126500,104000,130900,108400,111000,114800,114300,117000,136200,121400,124700,127600,130400,131300,132800,137800,146200,147000,141100,167100,178300,149000,151700,153700,160500,161300,162200,186500,170400,171100,171700,175000,209000,179000,181800,219500,193300,191000,229200,321500,195800,198300,202000,209500,208800,209800,288000,214100,281100
31,1000,2300,4400,5400,6000,9300,11000,16500,15200,17200,20500,23300,22200,25500,23300,28100,30500,39200,30800,35300,40900,43900,38700,40500,47800,44900,56500,50300,61700,53500,54500,96000,59600,68000,62600,65400,83800,70500,71300,77100,77100,78300,80700,83700,102100,102000,92400,93700,94000,119500,99100,114300,103900,106700,109000,110200,123900,115700,117500,145900,121500,125900,128000,139200,131200,137800,135400,138600,142300,150500,157200,178600,149500,151200,155000,157400,161100,163300,167900,171500,171600,172400,174100,200700,178300,181900,226300,197900,190600,205500,239400,196900,206400,202300,207300,208800,210000,255300,211900,277400
32,1100,2300,4300,5500,5900,9300,10700,14700,15600,17100,18200,24000,22400,27100,23700,26900,31100,39100,30700,37300,35200,37300,38500,40400,48300,45500,55800,50400,61500,52600,54500,74600,59300,62900,64700,72800,85100,71300,72300,75800,77200,79100,81000,213200,103600,106800,91600,91700,94600,116800,99600,112400,104400,107400,108100,110700,114700,113700,117800,132500,122900,124100,127100,129000,130900,149400,146500,138100,141900,142300,149500,178200,150000,152300,231700,159600,159900,164000,165900,168300,170900,172200,173000,192400,177700,187000,211000,188500,191500,190800,239100,197600,199400,201800,220300,206400,209800,240000,223100,273600
33,900,1900,4600,5500,5900,9500,9500,14800,12800,17300,19600,23900,23200,25000,23100,26800,32700,41200,30700,34400,35200,36200,39100,46100,48400,45300,56100,51000,62300,53300,54800,73600,59900,62400,63300,66000,84200,70000,72100,75200,78100,77500,80900,96800,98100,104100,90200,91700,95600,117500,99700,102200,104200,107200,107700,110700,126100,114800,117600,141600,123100,130500,126100,129700,131300,136700,136000,139400,141800,141400,148600,166300,150800,151600,200600,159600,167500,161300,167500,167500,170500,174000,181400,178000,177600,179800,228600,188800,191300,219900,207400,209700,199400,201000,204900,210500,209900,217700,211700,266100
34,900,2000,4400,5500,5900,9300,10600,13100,12500,16800,20700,25700,25000,23500,22900,27300,30900,34800,31100,35100,34500,37100,38500,43200,48700,45200,56100,57900,62500,53800,55600,73700,59700,62900,70600,66900,80100,69400,73500,76000,77700,80100,80700,85200,96000,87400,90300,91800,96100,131700,99100,107600,104300,107700,108300,109000,156700,117300,126400,170700,122100,125700,129100,132500,131300,132800,144800,138600,142300,143200,146900,168700,154600,153700,171700,160200,196300,165300,178100,167900,172400,171500,174000,179500,184000,181700,234400,188300,189600,239900,196500,198300,205200,208700,206300,206400,209200,212700,214200,226400
35,1000,2100,4500,5800,5900,8700,10100,15300,12700,17100,21300,25300,24500,25900,23000,27800,31700,35500,31600,35700,35900,36300,38400,43400,50900,45000,57300,52900,62300,53600,55500,73000,59300,61900,63200,156700,86100,69500,72400,187800,76400,79100,86100,85800,100500,87900,91400,90700,95600,118100,100000,151200,102100,106400,107100,111200,116000,114800,129200,138300,122700,123600,128400,134200,142800,132800,137400,139600,142000,143000,168500,159700,148800,157700,169600,175500,173000,184300,166200,167500,168100,172200,172400,179100,179900,181500,256700,192600,191100,227400,195600,199400,198600,201500,204600,269200,208900,212600,214200,217700
36,700,2200,4400,5800,5900,8100,10800,15400,12400,16800,20100,21200,23900,24000,22400,29000,31100,34700,30800,88600,34900,35700,38500,45500,47600,43800,57600,49000,61400,53200,55200,73700,60000,76600,64000,67100,86600,70800,71500,76600,111600,79000,81600,85800,102600,88100,91300,92100,94700,106600,99200,241400,104200,108300,109200,111600,117300,116300,121600,136900,128300,125100,127300,131100,134500,133700,137600,138600,157100,141200,208200,148500,151900,158000,156400,159500,167500,210200,169800,165800,180500,172000,173300,179700,180600,182100,220900,186700,207600,224400,196200,199300,197500,201200,204800,254500,208600,214200,212600,218800
37,700,2000,4600,5400,5900,8300,10100,15400,12700,16500,20200,21800,22200,24100,23800,28100,32700,34900,31100,39100,34400,63600,38600,46800,50300,46700,52900,63800,78300,53400,54700,73700,59600,62100,63300,66800,82000,111200,72000,85800,82200,79300,81800,84800,101200,88500,91200,93000,94700,99000,98600,126600,105300,107800,113900,116600,115700,115000,119200,133800,120900,132400,135200,131500,135200,134200,137100,139800,142600,165700,166000,175200,167400,182100,157800,180300,165000,196900,186400,167600,169100,178200,174300,197200,178600,187900,238300,186700,196900,204600,251800,194500,200900,207600,207200,262800,216900,213900,213000,216700
