Prueba,Tamaño_10,Tamaño_20,Tamaño_30,Tamaño_40,Tamaño_50,Tamaño_60,Tamaño_70,Tamaño_80,Tamaño_90,Tamaño_100,Tamaño_110,Tamaño_120,Tamaño_130,Tamaño_140,Tamaño_150,Tamaño_160,Tamaño_170,Tamaño_180,Tamaño_190,Tamaño_200,Tamaño_210,Tamaño_220,Tamaño_230,Tamaño_240,Tamaño_250,Tamaño_260,Tamaño_270,Tamaño_280,Tamaño_290,Tamaño_300,Tamaño_310,Tamaño_320,Tamaño_330,Tamaño_340,Tamaño_350,Tamaño_360,Tamaño_370,Tamaño_380,Tamaño_390,Tamaño_400,Tamaño_410,Tamaño_420,Tamaño_430,Tamaño_440,Tamaño_450,Tamaño_460,Tamaño_470,Tamaño_480,Tamaño_490,Tamaño_500,Tamaño_510,Tamaño_520,Tamaño_530,Tamaño_540,Tamaño_550,Tamaño_560,Tamaño_570,Tamaño_580,Tamaño_590,Tamaño_600,Tamaño_610,Tamaño_620,Tamaño_630,Tamaño_640,Tamaño_650,Tamaño_660,Tamaño_670,Tamaño_680,Tamaño_690,Tamaño_700,Tamaño_710,Tamaño_720,Tamaño_730,Tamaño_740,Tamaño_750,Tamaño_760,Tamaño_770,Tamaño_780,Tamaño_790,Tamaño_800,Tamaño_810,Tamaño_820,Tamaño_830,Tamaño_840,Tamaño_850,Tamaño_860,Tamaño_870,Tamaño_880,Tamaño_890,Tamaño_900,Tamaño_910,Tamaño_920,Tamaño_930,Tamaño_940,Tamaño_950,Tamaño_960,Tamaño_970,Tamaño_980,Tamaño_990,Tamaño_1000
597,700,4000,6700,10100,12800,19800,22600,32000,37700,40500,45200,72500,62900,72300,124700,124500,100700,112100,123800,133800,157300,163600,172100,182300,209400,213200,234400,334100,345700,365000,420800,381100,337400,495600,361900,377900,401100,461400,444300,478700,492900,526000,535100,590700,861200,783800,631900,966600,760400,749600,743400,768200,790400,807200,844600,892500,909500,967600,1009300,999300,1023700,1098700,1173400,1674100,1164200,1200600,1302900,1299900,1699600,1347000,1396900,1442900,1487600,1481100,1517600,1564700,1585500,1619300,1754900,1737300,1808700,1780300,1882000,1909000,1942800,2093900,2068100,2161500,2155900,2244000,2459200,2399800,3006300,2353700,3505900,3007900,2557800,2573000,2596500,2722500
598,600,3900,6000,10000,13100,21100,21500,31100,37900,40600,46500,74800,64000,78500,111300,123100,101600,110200,120100,129700,144900,154900,165800,191900,194900,214200,234200,345800,336300,280400,399900,381900,327600,463800,373900,463300,399300,444100,447300,487000,499800,510500,621600,740400,859500,714200,659000,1021900,863900,693300,728000,811800,786100,864000,843800,855100,924800,932500,964900,1004300,1024700,1037300,1153700,1642200,1261700,1189800,1379400,1233800,1288900,1395700,1364300,1394900,1453200,1544700,1534400,1539700,1605500,1639200,1726000,1718100,1834600,1824600,1856900,1900300,1926500,2032300,2021400,2061400,2863600,2200600,2211600,2469500,2412000,2592700,2988800,3015000,2689500,2560900,2682500,2700600
599,700,3700,4900,10700,13000,21500,21100,32400,48500,40500,46200,76600,62500,72700,113600,127900,98500,112000,121500,130100,148100,156000,304400,199800,201500,215100,226500,348700,345100,278800,285300,412900,350200,521200,359300,537300,405000,466900,436000,748100,499100,526600,609000,852700,950100,684700,673100,838600,771400,689400,734800,823400,789600,841800,868700,872700,905200,936800,976400,983200,1031500,1053500,1102400,1631500,1162000,1191000,1235600,1280100,1310000,1328600,1392900,1402800,1474000,1497600,1515200,1561700,1609200,1734100,1702900,1731600,1768900,1814500,1852700,1898400,1940000,1966700,2441400,2105300,3284600,2421600,2220200,2244900,2360700,2335600,2925000,2520100,2544600,2665700,2847600,2702400
600,800,3400,6800,13800,13300,20800,21600,33200,42900,40800,46500,71400,80400,70900,108800,126100,99500,110500,125400,185100,150200,162900,213700,182600,194700,212600,230500,341600,356100,267400,324600,399200,321500,447200,365300,601200,409400,431900,439000,511400,493900,524200,655500,833800,831600,767700,643500,905800,759800,699600,733800,895400,811200,823400,875800,876300,890300,953300,957600,1004200,1058600,1043100,1126800,4453400,1182000,1179900,1215600,1258300,1318200,1327000,1389600,1447600,1428600,1570600,1533700,1636500,1612700,2073400,1688000,1733200,1788600,2198000,1829000,1949500,1958400,1987200,2120800,2041300,2835200,2278500,2172200,2472200,2256900,2380600,2438600,2534400,2583900,2665600,2613300,2675000
601,600,3600,6800,12200,12700,22000,21300,34300,38300,39200,48400,72300,76900,72000,114000,123300,101000,108700,120800,132700,144200,156200,177800,197600,191400,215200,228900,332700,352700,274700,331000,430100,317800,451000,361800,506000,412900,486600,443600,482800,497000,507900,600900,872100,870100,692500,639900,915200,659700,695700,735000,785500,802000,817200,892600,873600,1114800,904300,967100,1004000,1055500,1057100,1207400,1800000,1171800,1230200,1238900,1291600,1314600,1345700,1394500,1437300,1474700,1666400,1537300,1624300,1566600,1884100,1681600,1704700,1790400,1886600,1855800,2095900,2113800,1950500,2036000,2093100,2347600,2214300,2290800,2249100,2282200,2327800,2799600,2609400,2565300,2597800,2969500,2746800
602,700,3000,6400,12200,16500,20600,21600,35200,40300,39000,47500,75600,68900,71300,112700,127600,104200,111500,130100,129600,157400,157700,169300,185300,202000,216300,237800,317400,338100,276900,365700,408900,347300,497100,365100,474000,454500,465300,548600,469800,486500,523300,553400,661100,1130700,768800,652500,875700,691800,709100,744400,754600,781600,969800,851500,880700,1012400,1012100,965700,992000,1033600,1076100,1095800,1140300,1169800,1202900,1222200,1274300,1301400,1320700,1380300,1396700,1453000,1508700,1659200,1565700,1711800,1873400,1751900,1723000,1739900,1805200,1883500,1953200,1972800,2005900,2031200,2086000,2220200,2149000,2577500,2275400,2302400,2381300,2515800,2443000,2484000,2554200,3737500,2723200
603,800,3500,6600,10300,12400,20900,21800,35400,37600,41400,48900,74800,73600,71100,112900,125200,102000,118800,121200,131900,144500,165800,165800,178900,204200,213800,224300,361000,343700,270000,357200,324300,326200,505000,367900,426700,506900,459900,569600,517700,481500,549800,532000,625200,894500,808200,620300,977500,672300,693500,735100,758500,828900,825700,833600,873900,911500,1013200,961700,1129000,1059800,1057800,1106700,1195200,1224300,1202100,1210700,1307900,1326800,1333300,1432700,1410200,1434400,1452000,1831800,1585400,1626900,1644500,1677000,1828500,1770300,1939500,1960900,1910600,1930300,2005100,2029600,2061800,2136000,2112200,2314200,2584700,2641600,2433800,2760600,3060100,2549600,2606500,3896300,2651100
604,700,3500,5900,11200,13300,20600,21400,34200,40300,38900,48000,77400,76100,74900,109300,128400,97600,112800,131700,136500,146800,155600,190000,186600,198300,211100,235900,291300,351500,277600,366200,331800,323400,510500,363700,474200,656300,464100,527500,476900,495800,500900,539900,559800,819900,734700,621600,1025800,675800,715700,722400,749300,812600,814900,853000,898400,919800,937900,987200,989700,1065500,1086500,1086300,1630300,1137600,1207800,1215700,1308100,1312300,2292400,1409800,1443500,1440900,1536200,2064800,1546800,1614400,1638500,1690500,1738700,1783500,1818400,1863200,1878200,1995900,2150200,2008800,2053900,2431400,2179800,2724700,2398700,2611700,2353900,2499700,3150400,2619100,2629100,2834800,2644300
605,700,3700,5200,10400,13800,20800,20200,34900,38400,42500,55400,76900,61900,68900,96800,129100,94500,114000,118500,130800,138100,163700,172200,183400,204300,212500,222200,240400,361600,273900,361200,340700,596400,513600,359100,386400,581300,470200,519100,475200,482200,519000,529500,573400,781300,723500,642600,1126700,852200,732000,797800,765200,802800,812900,843700,879100,885100,949800,967700,1006600,1015800,1049500,1093500,1533000,1178600,1343000,1227500,1257300,1934600,2047300,1389900,1938700,1456800,1498700,1561800,1580200,1642700,1651700,1667700,1783200,1788600,1858300,1860700,1929600,1984200,1981900,2014500,2198100,2129100,2161800,2501600,3165000,2454400,3052800,3206200,3068000,2568600,2763700,2748100,2774500
606,700,3300,5800,10200,13700,19700,20600,32700,40400,40900,57400,73500,64300,70500,108100,126800,165800,110300,121700,183800,149800,160400,175000,220400,193200,215100,233700,254100,363400,277000,383700,316100,451300,534800,441300,373400,495900,432300,451400,488300,652400,506500,526000,563300,808900,799800,624500,1064300,915800,865200,749500,767400,771500,841400,866500,1076000,900900,953700,963800,1004900,1027300,1083100,1137200,1477900,1186100,1193500,1206200,1559700,1689400,1871500,1478800,1504800,1780900,1463100,1794600,1576400,1608600,1696500,1729600,1678400,1793000,1816500,1857100,1974100,1941200,1994200,2097000,2108800,2273200,2675900,2218800,3205500,2369600,3086300,2961400,2987100,2536700,2574500,2650200,2687700
