Prueba,Tamaño_10,Tamaño_20,Tamaño_30,Tamaño_40,Tamaño_50,Tamaño_60,Tamaño_70,Tamaño_80,Tamaño_90,Tamaño_100,Tamaño_110,Tamaño_120,Tamaño_130,Tamaño_140,Tamaño_150,Tamaño_160,Tamaño_170,Tamaño_180,Tamaño_190,Tamaño_200,Tamaño_210,Tamaño_220,Tamaño_230,Tamaño_240,Tamaño_250,Tamaño_260,Tamaño_270,Tamaño_280,Tamaño_290,Tamaño_300,Tamaño_310,Tamaño_320,Tamaño_330,Tamaño_340,Tamaño_350,Tamaño_360,Tamaño_370,Tamaño_380,Tamaño_390,Tamaño_400,Tamaño_410,Tamaño_420,Tamaño_430,Tamaño_440,Tamaño_450,Tamaño_460,Tamaño_470,Tamaño_480,Tamaño_490,Tamaño_500,Tamaño_510,Tamaño_520,Tamaño_530,Tamaño_540,Tamaño_550,Tamaño_560,Tamaño_570,Tamaño_580,Tamaño_590,Tamaño_600,Tamaño_610,Tamaño_620,Tamaño_630,Tamaño_640,Tamaño_650,Tamaño_660,Tamaño_670,Tamaño_680,Tamaño_690,Tamaño_700,Tamaño_710,Tamaño_720,Tamaño_730,Tamaño_740,Tamaño_750,Tamaño_760,Tamaño_770,Tamaño_780,Tamaño_790,Tamaño_800,Tamaño_810,Tamaño_820,Tamaño_830,Tamaño_840,Tamaño_850,Tamaño_860,Tamaño_870,Tamaño_880,Tamaño_890,Tamaño_900,Tamaño_910,Tamaño_920,Tamaño_930,Tamaño_940,Tamaño_950,Tamaño_960,Tamaño_970,Tamaño_980,Tamaño_990,Tamaño_1000
31,600,1800,3500,6300,8700,11600,19000,20600,22400,26400,21400,29900,37000,52400,57400,41700,45000,50400,56600,61500,67700,73000,79400,83600,147900,164400,105000,112400,327100,169700,208700,142400,151000,174000,167200,178400,185100,305100,248000,214600,224500,235200,244800,256100,266900,279300,514600,298900,465400,342300,532700,401200,367000,375200,388300,495800,416100,468600,443000,469200,843600,488400,1055800,516000,532200,547600,595400,703200,604400,612800,794400,645500,665200,679900,708500,850500,1444900,761400,821500,877000,808000,830000,1312700,868600,1109600,908700,1575100,955200,982800,997300,1380500,1181400,2091900,1117300,1478500,1828500,1381500,1225200,1736500,1346400
32,700,1800,3000,6400,8500,12100,18300,21600,41200,28300,21700,29400,29300,53500,57100,41300,45600,49600,56100,60800,66500,73100,79000,85300,148800,164300,104700,112700,202000,170300,160800,142700,149500,159600,171900,174300,186300,214300,253400,214200,234000,234200,244900,255200,267600,279000,503200,300300,449700,325000,561700,449600,463900,1168500,389200,494800,415000,427500,448100,469100,1364700,487800,501400,516800,539300,632000,703600,661200,598300,621600,628900,657300,670500,696700,705700,762200,1154800,755600,773100,806900,806400,838600,1568300,877000,917400,907200,1196900,961800,1107800,1169400,1601000,1233600,2021400,1285200,1770500,1883500,1162900,1184500,2153300,1218700
33,500,1700,2500,5700,8700,11800,19200,22400,20500,28400,21500,30400,28700,51300,57000,41200,46200,62200,56100,60100,66900,72700,77700,85400,147500,165300,109000,111400,204800,169800,160800,142000,149700,159600,169100,175500,184700,215800,290200,214700,307600,235700,244900,256300,265400,292300,508900,308400,449900,326600,563500,421300,563400,458600,610000,516700,414100,429500,444200,467100,740100,488200,530800,523800,535400,558700,887300,594800,598600,616400,650500,646100,1688300,707900,698900,780000,1090900,755300,778800,789800,1353200,1654800,1428700,866800,886600,1019600,957500,955700,1167900,1680600,1381300,1057700,1900800,2072700,1941900,1937300,1145100,1898700,1646800,1699300
34,700,1900,2400,5800,8800,7900,19100,23200,20100,25200,21900,48900,28900,52500,55300,40600,45900,107100,55100,61000,68200,73900,78600,83800,148600,165200,105000,111900,204900,189500,161900,143700,150600,215900,168800,187000,199600,195600,260200,219200,372900,240100,244500,255300,267300,278400,551900,302000,450600,334200,512700,441600,472700,568500,690700,521700,414800,428100,457500,459400,907800,849500,502000,515800,537600,544800,637900,581000,863700,611900,927500,758200,1448900,741900,707500,1021800,934600,1344700,767200,798300,1317000,1192400,1563100,875000,972800,1192600,929100,964300,1031900,1197800,1381100,1050200,1935100,1279000,1738400,2118600,1149400,2088200,1330800,1878400
35,600,1800,2500,6000,6800,7800,19000,23100,23500,28500,22000,35400,29300,53500,57200,41500,46400,51000,56800,60100,65900,72600,78600,85700,132800,185200,103900,110600,170900,1895900,187200,142000,150700,157400,168000,188400,185700,235600,203600,215100,407200,234800,252000,256800,266900,278300,517100,301800,478600,326700,406800,451200,1254800,548700,512300,551600,421700,435800,443700,468500,756600,752700,511500,519100,535100,618900,585800,599400,915700,615800,864100,679600,679600,699700,704100,882900,749700,913200,774700,788700,826700,845100,1439700,942400,896800,1704800,1068700,956800,976400,1178200,1836800,1049300,1935200,1469800,1097600,1960000,1232300,2122300,1453600,1223800
36,700,2000,2500,5700,5600,7900,16700,23500,23800,36500,21300,30500,28700,53200,57200,41600,55200,50600,56400,60500,66000,73500,80300,84900,108400,167200,104400,112000,120600,127200,161000,148400,149500,158200,169500,177000,184500,196700,204900,215500,401900,233800,245600,255400,276900,279300,500200,304100,547600,326300,390600,433300,564200,488600,427900,440100,415100,428100,743600,465700,1068100,727300,503200,522000,650400,900900,661800,580000,718000,611600,633800,669800,665700,938700,703400,733500,778100,754000,773000,792300,1256100,1233000,1041900,1656600,896000,1396100,988500,965000,1080400,1004600,1614300,1031800,1957600,1096500,1105200,1789400,1146900,1984800,2805000,1209400
37,800,1900,2500,5900,6000,7600,15700,17300,17600,34800,21400,29700,30000,51300,57100,40500,112600,50400,56300,61100,66100,84700,80000,86100,91900,165400,104400,113000,119400,125500,165200,142300,150600,160400,169100,176200,186400,195700,219000,215100,400500,236000,246600,266900,269300,462100,540400,300100,543600,342200,337100,386300,362500,375200,404200,407800,415200,452500,941000,467300,811100,962400,500200,515700,568300,802700,602200,590900,684900,618400,631200,730600,664800,1029400,719300,865900,734800,753700,773400,783600,1374500,1585400,1289700,864100,883400,1131400,1001500,958700,970900,1007700,1094400,1057800,1883100,1082600,1095100,1340100,1921300,1637200,1776200,1238700
38,600,1900,2500,5700,5600,7400,15300,15500,15200,33400,21200,30100,28400,51800,55300,41300,68800,49600,56000,61400,65900,72800,79200,85600,105200,165600,112400,119200,120400,126300,137700,141700,151800,159800,253200,176100,186500,194900,205100,220400,458200,233400,246800,256000,267500,505800,502400,300700,533500,325000,355300,351400,418900,399600,389700,402600,416000,430000,875900,458300,874500,597600,533300,583200,530800,596500,655600,588700,666100,620000,633400,658300,674600,797200,760400,805800,748700,865300,778800,1405800,1376300,1416100,1193700,913100,884200,937900,1129100,958900,1098300,998100,1238700,1522700,1229400,1083200,1113000,1175800,1301700,1533600,1318800,1213400
39,700,1800,2600,5900,5700,8400,16600,14900,15100,31300,21700,30600,29100,52700,57600,41700,69300,50400,55800,60500,231700,92100,78600,90700,90700,167300,104700,112700,119000,125400,134900,143100,170300,160400,205500,175700,186900,195200,204500,216100,245400,234600,248100,257400,267000,497200,494400,306900,547000,328200,336800,642900,377100,376200,387800,577300,474600,437900,527200,518100,895900,489400,814900,737100,1408300,724100,563300,585900,650000,610400,628900,656500,664000,690000,820400,715300,911600,1445000,768000,1250100,1489300,898800,845800,865000,894100,904400,1060100,949200,1237400,1006400,2119500,1299800,1611500,1083000,1097900,1333400,1219900,1203200,1273500,1446600
40,500,1700,2800,6400,5700,7700,16300,15300,15300,32300,21700,30000,28900,51900,58100,40700,75300,50600,55400,61400,67100,72100,78300,85900,90800,166000,103700,111400,119200,126600,133900,142600,150800,159100,212600,230500,184600,207700,206600,213500,223900,234100,244700,256200,268300,531800,509500,299700,527700,335500,336200,730100,361500,377800,389400,404700,414400,427700,456500,924200,794300,518100,758700,687900,601200,613400,568200,590300,594700,616800,628500,664000,662500,679800,924400,2128600,738500,1326600,775400,792300,1390400,946700,913600,1063600,1086200,904400,1054700,953500,1706600,1023200,2000600,1085900,1214600,1079600,1103500,1849300,1372000,1302700,1357200,1810700
41,600,2100,2600,6000,5700,8200,18000,15300,15100,33900,21400,30800,29000,54500,73800,41200,70800,50500,63800,61200,66600,71900,78200,85400,92100,167700,104700,111300,131900,127000,134400,141900,150300,159300,210600,175800,187300,195700,206000,215000,236600,316600,247200,254800,288600,506200,669600,299900,537900,326900,336800,469200,364400,380900,389900,403100,791800,430600,456000,552400,766500,490200,687900,700200,584500,712200,565400,578700,594300,615900,635200,647100,729500,711000,1154600,1207800,745100,1355200,1774100,788600,1179400,842500,875500,902700,1186600,904100,1767200,956000,1340900,1113400,1853200,1036800,1069600,1079800,1098500,1298300,1149200,1282200,1320100,2164200
42,700,1700,2500,5600,5900,8000,18200,15200,15300,32100,22400,30100,28500,53200,54800,45700,85400,50500,56900,60900,67800,72100,79700,83800,145600,168300,110600,111600,118200,127200,135100,144000,150300,159700,223700,176200,186500,193900,204800,214800,227100,361000,250600,255000,265900,505100,556500,302400,531300,325200,335800,364900,441100,377500,441500,414900,2555800,670200,443200,974300,749000,488100,696400,515900,565400,899300,560900,597200,606400,610100,627800,858000,662900,691600,720400,1362700,876100,1341600,830100,795200,1026700,908500,857000,929200,921700,903000,1093400,1800900,1009300,1471100,1766700,1320300,1056500,1097000,1093700,1608800,1240000,1172600,1212900,1396500
43,700,1700,2400,5800,5800,7400,17900,15100,15600,22300,22200,29700,29000,53600,56200,55100,71500,50800,55600,61100,66900,72700,77700,84100,148900,167400,105900,111600,119200,127400,273000,148000,150900,168000,209400,176500,305200,196500,204700,219900,243000,362300,244900,256100,276500,510600,289000,299800,556300,569700,337200,350000,590900,378400,388400,416700,2212600,733500,455800,506900,774000,487500,513600,545700,548500,901000,571200,589400,595900,616600,635100,1057300,664000,818900,703700,1140300,805300,1300300,784800,825700,1374400,861900,845000,866100,913400,1018100,963800,1633200,975600,1482700,1737700,1109000,1061600,1080300,1160500,1799100,1151200,1915200,1185200,2099100
