Prueba,Tama�o_10,Tama�o_20,Tama�o_30,Tama�o_40,Tama�o_50,Tama�o_60,Tama�o_70,Tama�o_80,Tama�o_90,Tama�o_100,Tama�o_110,Tama�o_120,Tama�o_130,Tama�o_140,Tama�o_150,Tama�o_160,Tama�o_170,Tama�o_180,Tama�o_190,Tama�o_200,Tama�o_210,Tama�o_220,Tama�o_230,Tama�o_240,Tama�o_250,Tama�o_260,Tama�o_270,Tama�o_280,Tama�o_290,Tama�o_300,Tama�o_310,Tama�o_320,Tama�o_330,Tama�o_340,Tama�o_350,Tama�o_360,Tama�o_370,Tama�o_380,Tama�o_390,Tama�o_400,Tama�o_410,Tama�o_420,Tama�o_430,Tama�o_440,Tama�o_450,Tama�o_460,Tama�o_470,Tama�o_480,Tama�o_490,Tama�o_500,Tama�o_510,Tama�o_520,Tama�o_530,Tama�o_540,Tama�o_550,Tama�o_560,Tama�o_570,Tama�o_580,Tama�o_590,Tama�o_600,Tama�o_610,Tama�o_620,Tama�o_630,Tama�o_640,Tama�o_650,Tama�o_660,Tama�o_670,Tama�o_680,Tama�o_690,Tama�o_700,Tama�o_710,Tama�o_720,Tama�o_730,Tama�o_740,Tama�o_750,Tama�o_760,Tama�o_770,Tama�o_780,Tama�o_790,Tama�o_800,Tama�o_810,Tama�o_820,Tama�o_830,Tama�o_840,Tama�o_850,Tama�o_860,Tama�o_870,Tama�o_880,Tama�o_890,Tama�o_900,Tama�o_910,Tama�o_920,Tama�o_930,Tama�o_940,Tama�o_950,Tama�o_960,Tama�o_970,Tama�o_980,Tama�o_990,Tama�o_1000
39,600,1500,2700,5900,5600,7500,29500,12300,17000,36700,21900,32600,37100,46000,50000,55000,62100,68900,74800,80800,87600,94500,104500,88800,133500,142600,171700,171700,126000,203800,145400,187000,195800,170400,294800,179600,210200,292600,320600,253900,266000,265100,389000,642700,319000,343200,392800,321400,331700,355200,540800,474200,440300,447800,517500,428400,428300,522200,467700,586200,641800,781000,671300,657700,562800,740800,672300,1240000,1053100,692100,815000,702300,733300,1361200,853000,797600,762000,917700,919100,1468300,992500,914000,1033400,1177000,961800,983200,1501000,1027800,1208000,1216400,1105300,1151600,1144900,1189100,1343800,1248400,1587800,1402700,1537600,1957400
40,500,1500,3000,5300,5600,7600,34100,12800,17100,32300,21400,33100,38200,46800,50100,55600,61700,68600,74200,81200,87200,96000,104000,88500,132700,138500,172000,166400,126300,202900,144100,187800,197000,170400,302800,181100,214500,254000,298100,249900,265700,308200,325300,521900,329800,334100,364000,323000,330600,440200,542000,441800,393200,449900,469800,427300,428100,525400,813000,578300,571200,704700,672600,629000,563900,674500,2844400,1407800,649400,691100,817500,702000,731800,949900,856400,790600,770000,940400,921800,1513900,991100,910200,1096200,1426800,959900,985000,1190100,1045200,1208100,1236000,1105500,1311100,1145000,1188400,1339700,1248900,1589300,1269600,1476400,1885000
41,800,1600,3400,4400,5300,7200,32500,12300,15100,36600,22400,32300,38100,46300,50700,56600,61000,69400,74000,81100,88200,95500,103400,88900,133300,141200,174200,160700,125900,203300,144700,189000,195600,169000,310600,179300,219900,265000,336200,243400,263000,315100,288100,534100,331000,316600,340200,322400,332300,595300,536700,434100,395300,461100,493500,427200,429400,523400,620800,564700,577400,1005800,671900,621100,564200,662000,746200,1176800,726700,687700,2450200,702100,732000,954100,857300,793200,762400,918500,913200,1103600,997400,909500,1046400,1604000,961500,982400,1227400,1055600,1206500,1202400,1106200,1163700,1206200,1187500,1342200,1248600,1590200,1265500,1488000,1911600
42,700,1400,3400,5000,5300,7400,32100,12200,15700,31200,21600,32000,37900,44100,50700,54900,61600,69700,73600,80800,87200,95100,103800,88500,133200,142400,172500,165900,126700,202400,145000,188400,195200,169200,345400,181300,215000,265300,336500,254800,263600,366300,281800,494100,332900,338500,345200,321600,330900,1071100,536000,426100,393900,449300,464300,426400,429000,523000,591700,551100,583100,760600,674500,652100,562500,673800,780500,1174300,714900,684600,853300,701200,730900,1388100,856700,789400,764600,907600,918300,883900,985100,911600,1269400,1329600,959000,982500,1119900,1037200,1212900,1415900,1104500,1136500,1146200,1185900,1336200,1246000,1595300,1268700,1490900,1655200
43,600,1500,4000,4800,5600,7500,32900,12600,15500,30500,21900,32800,37200,44200,50600,55700,61200,69200,74200,80700,87500,95700,103300,88700,134400,140000,172600,171600,125900,201700,145500,186800,195400,169800,342700,180200,215500,299800,265800,315500,265100,293600,298200,515400,327800,340000,347300,328400,329600,653500,556300,419700,394500,448700,473700,428900,509100,522100,593300,569500,633100,704900,671000,773800,564500,655400,678900,1234700,805900,688100,777000,701700,731200,1019600,1235700,789500,764200,910800,915200,869300,981800,910400,1588200,1636200,958200,1081900,1117300,1035500,1211200,1314100,1108300,1146500,1162700,1186400,1338100,1244300,1998600,1393700,1479300,1528300
44,700,1300,2700,4800,5400,7500,34800,12400,15600,42100,22000,32400,37600,44400,49900,56400,61700,69000,73900,80000,88300,95200,104100,89200,132000,142600,173500,164300,127700,204300,145100,186900,212900,170500,304500,181200,213900,254600,323200,311100,263900,294900,291800,521200,312500,333400,336900,320400,330300,568400,569100,480100,393500,526500,471300,427500,2787800,521500,593700,545700,605500,658200,676200,799400,564300,668000,678200,10888600,769700,770800,881800,700800,731400,942300,956500,793200,803100,909200,915000,869300,989100,1063300,1010100,1374900,959900,1014500,1117000,1038600,1207800,1263400,1127800,1139100,1480400,1190000,1336800,1238900,2250300,1729800,1467600,1530000
45,700,1600,2900,4700,5700,7300,34600,12300,15300,53700,21800,32300,37200,44200,50600,54100,62100,69900,73700,82100,87000,94500,104200,89300,132500,139900,173600,161600,126600,200700,144100,188900,236500,169100,310400,181200,236500,290600,260300,421100,263800,340900,292200,495200,318600,331600,374500,325000,329800,510800,569700,448800,393300,495000,470900,429400,1332700,522400,595100,547500,601700,657200,728800,625300,563800,656800,688800,747800,755100,775300,802500,702500,734600,938100,953500,794700,1190400,910700,911400,866400,985200,951800,932600,1182000,961400,1255300,1115800,1036100,1208700,1217700,1106900,1139000,1183600,1186100,1335400,1236300,1789200,1271600,1499800,1497700
46,600,1800,3300,5900,5500,7600,35500,12400,15200,42600,21900,32400,38100,43500,50600,55600,60900,68600,73700,79900,87000,94800,103800,88200,133100,141300,171700,179200,126700,204100,145200,188800,306700,168600,305600,196600,227600,248100,316800,276900,268000,317700,306400,493700,314700,317800,348200,326600,331200,510200,544100,591600,392700,441400,464800,449400,435100,519400,592700,538800,717500,657700,770800,617300,562900,666900,681300,701900,773700,761800,808100,703100,731500,941300,958600,789900,1491800,987600,912300,866900,981800,986100,931000,1185700,1237300,1101700,1117400,1036300,1282900,1309000,1240300,1137600,1173900,1188500,1384200,1283400,1603700,1275600,1612000,1742700
47,700,1400,3100,4500,5700,7600,32000,12700,15300,36300,21700,32600,37500,44900,50200,56200,62500,68800,73800,80500,91300,95300,104800,88900,133200,141200,171600,171700,126000,202700,146000,188700,275300,169500,304700,261000,213600,234600,264800,308000,269000,298100,296100,482600,574800,334800,356600,323800,329800,509600,497700,662900,394700,505200,461000,483600,437500,523200,593700,571600,1327900,657300,810900,618400,562300,660400,678200,681600,739300,755700,747400,1063800,732400,942800,1614600,787500,1113200,947200,950200,864000,982300,1053600,931800,1185400,1364000,1008100,1327700,1038600,1247000,1200600,1608100,1140700,1169400,1206800,1642100,1289100,1603900,1273700,1540400,1330400
48,500,1800,3000,4500,5400,7500,31900,14500,15500,31900,22300,32000,37500,44400,50100,55400,61000,68400,74500,84300,88100,94900,103700,88200,133400,142500,172800,172200,126600,202800,145900,188400,206200,169300,323400,227200,240000,247700,306900,398300,265900,269200,329800,485500,402700,335400,367300,325700,329600,510200,691100,1308900,393200,820500,457700,426000,431700,522600,594100,568000,807800,656200,750300,624000,564900,657700,680300,683200,737200,764500,764500,1556300,730500,940800,841200,786800,858200,1203100,912700,869700,1347800,962400,932100,1182600,1238400,1110700,1199000,1052000,1119800,1205200,1984800,1136700,1156900,1187100,1570100,1262000,1602800,1276700,1497100,1325700
49,600,2800,3500,4600,5500,7600,31100,13700,15200,31000,22000,32700,37500,44000,49100,55700,61600,69500,73800,80600,87800,94900,103500,88900,131600,144200,172400,173900,126200,205700,145500,188900,158800,246400,306600,226700,228300,244200,273600,445000,270800,284900,316700,543100,837000,333200,352900,325500,328600,509200,686000,660800,393000,1110900,470100,426000,444700,524500,595800,545800,753600,656600,736300,616600,563400,655800,677300,684100,734500,755500,735800,1515100,732700,939100,776700,785800,862600,1102800,916300,868600,1128100,937200,932000,1124300,1098300,1285100,1006500,1065000,1093000,1227100,1584900,1137700,1153300,1233400,1231500,1245600,1604200,1278100,1474500,1325500
50,700,1400,2500,4300,5200,7500,24800,13700,15700,31300,21600,32300,37800,44000,50600,55000,61300,69700,74900,90800,87500,95700,104800,88600,152900,140700,172700,175300,125900,202700,145800,188200,158200,434000,311400,227800,215800,227600,293000,724200,268400,270000,305000,452600,482500,330400,347400,324000,330200,511200,535400,418700,392100,569000,453700,426000,435600,567000,622100,559000,580900,659500,819800,622600,628900,706800,678400,682200,716700,761700,771200,712600,790900,940400,790400,784400,862000,828300,912300,867000,917300,916700,932500,1083500,963500,1287400,992100,1036600,1094100,1212800,1380800,1136100,1154200,1189600,1241200,1245400,1601800,1276600,1461600,1327700
51,900,1400,2900,4000,5400,7300,28400,19600,15300,31800,22100,32600,37100,43200,52000,55400,61600,69600,74100,95100,87100,94200,105100,88800,155900,141400,165400,176200,126100,204700,145600,188500,157300,277500,347100,226800,218900,245900,253900,409700,266500,282400,413400,437200,499500,325000,358800,324500,331200,513800,441100,752200,391900,543200,520200,425900,438400,977000,922100,552500,595200,659900,1061100,620500,1010300,659200,679100,683200,731300,804900,728500,750600,822800,938800,775900,787400,864900,818400,919800,866300,915500,948000,934000,1077500,969700,1284900,990000,1037600,1090700,1245600,1383100,1185500,1163800,1185600,1223800,1244800,1601800,1276400,1457200,1329400
